Dim,Method,Value,Time
17,"tabu_inverse, simulated_annealing, make_change_swap",667,1.9
17,"tabu_inverse, simulated_annealing, make_change_scramble",667,2.19
17,"tabu_inverse, simulated_annealing, make_change_inverse",667,1.92
17,"tabu_inverse_complete, local_search, make_change_swap",667,4.89
17,"tabu_inverse_complete, local_search, make_change_scramble",667,5.25
17,"tabu_inverse_complete, local_search, make_change_inverse",667,4.87
17,"tabu_inverse_complete, simulated_annealing, make_change_swap",667,4.98
17,"tabu_inverse_complete, simulated_annealing, make_change_scramble",667,5.3
17,"tabu_inverse_complete, simulated_annealing, make_change_inverse",667,4.94
17,"tabu_scramble, local_search, make_change_swap",667,5.03
17,"tabu_scramble, local_search, make_change_scramble",667,5.35
17,"tabu_scramble, local_search, make_change_inverse",667,5.07
17,"tabu_scramble, simulated_annealing, make_change_swap",667,5.13
17,"tabu_scramble, simulated_annealing, make_change_scramble",667,5.55
17,"tabu_scramble, simulated_annealing, make_change_inverse",667,5.24
17,"tabu_scramble_continuous, local_search, make_change_swap",667,6.84
17,"tabu_scramble_continuous, local_search, make_change_scramble",667,7.81
17,"tabu_scramble_continuous, local_search, make_change_inverse",667,6.99
17,"tabu_scramble_continuous, simulated_annealing, make_change_swap",667,7.1
17,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",667,7.36
17,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",667,7.48
23,"tabu_swap_neighbors, local_search, make_change_swap",1581,3.81
23,"tabu_swap_neighbors, local_search, make_change_scramble",1600,4.15
23,"tabu_swap_neighbors, local_search, make_change_inverse",1593,3.82
23,"tabu_swap_neighbors, simulated_annealing, make_change_swap",1581,3.85
23,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",1581,4.26
23,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",1600,3.92
